date,state,state_abb,cat_tax,cat_str,rev,year,quarter
Q3-2015,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2015,3
Q3-2015,Georgia,GA,T16,T16 Tobacco Products Sales Tax,57,2015,3
Q3-2015,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,1,2015,3
Q3-2015,Georgia,GA,T20,T20 Alcoholic Beverages License,1,2015,3
Q3-2015,Georgia,GA,T21,T21 Amusements License,0,2015,3
Q3-2015,Georgia,GA,T22,T22 Corporations In General License,11,2015,3
Q3-2015,Georgia,GA,T23,T23 Hunting and Fishing License,6,2015,3
Q3-2015,Georgia,GA,T24,T24 Motor Vehicles License,88,2015,3
Q3-2015,Georgia,GA,T25,T25 Motor Vehicle Operators License,2,2015,3
Q3-2015,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",21,2015,3
Q3-2015,Georgia,GA,T29,T29 Other License Taxes,10,2015,3
Q3-2015,Georgia,GA,T40,T40 Individual Income Taxes,2645,2015,3
Q3-2015,Georgia,GA,T41,T41 Corporation Net Income Taxes,229,2015,3
Q3-2015,Georgia,GA,T50,T50 Death and Gift Taxes,0,2015,3
Q3-2015,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2015,3
Q3-2015,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",28,2015,3
Q3-2015,Georgia,GA,TOTAL,Total Taxes,5236,2015,3
Q4-2015,Georgia,GA,T01,T01 Property Taxes,228,2015,4
Q4-2015,Georgia,GA,T09,T09 General Sales and Gross Receipts Taxes,1304,2015,4
Q4-2015,Georgia,GA,T10,T10 Alcoholic Beverages Sales Tax,47,2015,4
Q4-2015,Georgia,GA,T12,T12 Insurance Premiums Sales Tax,105,2015,4
Q4-2015,Georgia,GA,T13,T13 Motor Fuels Sales Tax,418,2015,4
Q4-2015,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2015,4
Q4-2015,Georgia,GA,T16,T16 Tobacco Products Sales Tax,53,2015,4
Q4-2015,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,0,2015,4
Q4-2015,Georgia,GA,T20,T20 Alcoholic Beverages License,2,2015,4
Q4-2015,Georgia,GA,T21,T21 Amusements License,0,2015,4
Q4-2015,Georgia,GA,T22,T22 Corporations In General License,14,2015,4
Q4-2015,Georgia,GA,T23,T23 Hunting and Fishing License,6,2015,4
Q4-2015,Georgia,GA,T24,T24 Motor Vehicles License,81,2015,4
Q4-2015,Georgia,GA,T25,T25 Motor Vehicle Operators License,2,2015,4
Q4-2015,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",17,2015,4
Q4-2015,Georgia,GA,T29,T29 Other License Taxes,8,2015,4
Q4-2015,Georgia,GA,T40,T40 Individual Income Taxes,2785,2015,4
Q4-2015,Georgia,GA,T41,T41 Corporation Net Income Taxes,195,2015,4
Q4-2015,Georgia,GA,T50,T50 Death and Gift Taxes,-2,2015,4
Q4-2015,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2015,4
Q4-2015,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",41,2015,4
Q4-2015,Georgia,GA,TOTAL,Total Taxes,5303,2015,4
Q1-2016,Georgia,GA,T01,T01 Property Taxes,238,2016,1
Q1-2016,Georgia,GA,T09,T09 General Sales and Gross Receipts Taxes,1376,2016,1
Q1-2016,Georgia,GA,T10,T10 Alcoholic Beverages Sales Tax,46,2016,1
Q1-2016,Georgia,GA,T12,T12 Insurance Premiums Sales Tax,107,2016,1
Q1-2016,Georgia,GA,T13,T13 Motor Fuels Sales Tax,411,2016,1
Q1-2016,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2016,1
Q1-2016,Georgia,GA,T16,T16 Tobacco Products Sales Tax,52,2016,1
Q1-2016,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,0,2016,1
Q1-2016,Georgia,GA,T20,T20 Alcoholic Beverages License,1,2016,1
Q1-2016,Georgia,GA,T21,T21 Amusements License,0,2016,1
Q1-2016,Georgia,GA,T22,T22 Corporations In General License,13,2016,1
Q1-2016,Georgia,GA,T23,T23 Hunting and Fishing License,7,2016,1
Q1-2016,Georgia,GA,T24,T24 Motor Vehicles License,103,2016,1
Q1-2016,Georgia,GA,T25,T25 Motor Vehicle Operators License,6,2016,1
Q1-2016,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",21,2016,1
Q1-2016,Georgia,GA,T29,T29 Other License Taxes,5,2016,1
Q1-2016,Georgia,GA,T40,T40 Individual Income Taxes,2260,2016,1
Q1-2016,Georgia,GA,T41,T41 Corporation Net Income Taxes,247,2016,1
Q1-2016,Georgia,GA,T50,T50 Death and Gift Taxes,0,2016,1
Q1-2016,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2016,1
Q1-2016,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",37,2016,1
Q1-2016,Georgia,GA,TOTAL,Total Taxes,4930,2016,1
Q2-2016,Georgia,GA,T01,T01 Property Taxes,253,2016,2
Q2-2016,Georgia,GA,T09,T09 General Sales and Gross Receipts Taxes,1427,2016,2
Q2-2016,Georgia,GA,T10,T10 Alcoholic Beverages Sales Tax,50,2016,2
Q2-2016,Georgia,GA,T12,T12 Insurance Premiums Sales Tax,107,2016,2
Q2-2016,Georgia,GA,T13,T13 Motor Fuels Sales Tax,447,2016,2
Q2-2016,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2016,2
Q2-2016,Georgia,GA,T16,T16 Tobacco Products Sales Tax,57,2016,2
Q2-2016,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,0,2016,2
Q2-2016,Georgia,GA,T20,T20 Alcoholic Beverages License,0,2016,2
Q2-2016,Georgia,GA,T21,T21 Amusements License,0,2016,2
Q2-2016,Georgia,GA,T22,T22 Corporations In General License,13,2016,2
Q2-2016,Georgia,GA,T23,T23 Hunting and Fishing License,7,2016,2
Q2-2016,Georgia,GA,T24,T24 Motor Vehicles License,95,2016,2
Q2-2016,Georgia,GA,T25,T25 Motor Vehicle Operators License,4,2016,2
Q2-2016,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",22,2016,2
Q2-2016,Georgia,GA,T29,T29 Other License Taxes,10,2016,2
Q2-2016,Georgia,GA,T40,T40 Individual Income Taxes,2749,2016,2
Q2-2016,Georgia,GA,T41,T41 Corporation Net Income Taxes,311,2016,2
Q2-2016,Georgia,GA,T50,T50 Death and Gift Taxes,0,2016,2
Q2-2016,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2016,2
Q2-2016,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",45,2016,2
Q2-2016,Georgia,GA,TOTAL,Total Taxes,5595,2016,2
Q3-2016,Georgia,GA,T01,T01 Property Taxes,268,2016,3
Q3-2016,Georgia,GA,T09,T09 General Sales and Gross Receipts Taxes,1452,2016,3
Q3-2016,Georgia,GA,T10,T10 Alcoholic Beverages Sales Tax,50,2016,3
Q3-2016,Georgia,GA,T12,T12 Insurance Premiums Sales Tax,107,2016,3
Q3-2016,Georgia,GA,T13,T13 Motor Fuels Sales Tax,445,2016,3
Q3-2016,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2016,3
Q3-2016,Georgia,GA,T16,T16 Tobacco Products Sales Tax,58,2016,3
Q3-2016,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,1,2016,3
Q3-2016,Georgia,GA,T20,T20 Alcoholic Beverages License,1,2016,3
Q3-2016,Georgia,GA,T21,T21 Amusements License,0,2016,3
Q3-2016,Georgia,GA,T22,T22 Corporations In General License,13,2016,3
Q3-2016,Georgia,GA,T23,T23 Hunting and Fishing License,7,2016,3
Q3-2016,Georgia,GA,T24,T24 Motor Vehicles License,87,2016,3
Q3-2016,Georgia,GA,T25,T25 Motor Vehicle Operators License,3,2016,3
Q3-2016,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",22,2016,3
Q3-2016,Georgia,GA,T29,T29 Other License Taxes,10,2016,3
Q3-2016,Georgia,GA,T40,T40 Individual Income Taxes,2667,2016,3
Q3-2016,Georgia,GA,T41,T41 Corporation Net Income Taxes,210,2016,3
Q3-2016,Georgia,GA,T50,T50 Death and Gift Taxes,0,2016,3
Q3-2016,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2016,3
Q3-2016,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",44,2016,3
Q3-2016,Georgia,GA,TOTAL,Total Taxes,5444,2016,3
Q4-2016,Georgia,GA,T01,T01 Property Taxes,244,2016,4
Q4-2016,Georgia,GA,T09,T09 General Sales and Gross Receipts Taxes,1387,2016,4
Q4-2016,Georgia,GA,T10,T10 Alcoholic Beverages Sales Tax,48,2016,4
Q4-2016,Georgia,GA,T12,T12 Insurance Premiums Sales Tax,107,2016,4
Q4-2016,Georgia,GA,T13,T13 Motor Fuels Sales Tax,438,2016,4
Q4-2016,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2016,4
Q4-2016,Georgia,GA,T16,T16 Tobacco Products Sales Tax,55,2016,4
Q4-2016,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,0,2016,4
Q4-2016,Georgia,GA,T20,T20 Alcoholic Beverages License,2,2016,4
Q4-2016,Georgia,GA,T21,T21 Amusements License,0,2016,4
Q4-2016,Georgia,GA,T22,T22 Corporations In General License,13,2016,4
Q4-2016,Georgia,GA,T23,T23 Hunting and Fishing License,7,2016,4
Q4-2016,Georgia,GA,T24,T24 Motor Vehicles License,83,2016,4
Q4-2016,Georgia,GA,T25,T25 Motor Vehicle Operators License,2,2016,4
Q4-2016,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",18,2016,4
Q4-2016,Georgia,GA,T29,T29 Other License Taxes,8,2016,4
Q4-2016,Georgia,GA,T40,T40 Individual Income Taxes,2903,2016,4
Q4-2016,Georgia,GA,T41,T41 Corporation Net Income Taxes,202,2016,4
Q4-2016,Georgia,GA,T50,T50 Death and Gift Taxes,0,2016,4
Q4-2016,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2016,4
Q4-2016,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",43,2016,4
Q4-2016,Georgia,GA,TOTAL,Total Taxes,5559,2016,4
Q1-2017,Georgia,GA,T01,T01 Property Taxes,236,2017,1
Q1-2017,Georgia,GA,T09,T09 General Sales and Gross Receipts Taxes,1425,2017,1
Q1-2017,Georgia,GA,T10,T10 Alcoholic Beverages Sales Tax,46,2017,1
Q1-2017,Georgia,GA,T12,T12 Insurance Premiums Sales Tax,107,2017,1
Q1-2017,Georgia,GA,T13,T13 Motor Fuels Sales Tax,415,2017,1
Q1-2017,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2017,1
Q1-2017,Georgia,GA,T16,T16 Tobacco Products Sales Tax,52,2017,1
Q1-2017,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,0,2017,1
Q1-2017,Georgia,GA,T20,T20 Alcoholic Beverages License,0,2017,1
Q1-2017,Georgia,GA,T21,T21 Amusements License,0,2017,1
Q1-2017,Georgia,GA,T22,T22 Corporations In General License,13,2017,1
Q1-2017,Georgia,GA,T23,T23 Hunting and Fishing License,7,2017,1
Q1-2017,Georgia,GA,T24,T24 Motor Vehicles License,107,2017,1
Q1-2017,Georgia,GA,T25,T25 Motor Vehicle Operators License,6,2017,1
Q1-2017,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",22,2017,1
Q1-2017,Georgia,GA,T29,T29 Other License Taxes,6,2017,1
Q1-2017,Georgia,GA,T40,T40 Individual Income Taxes,2451,2017,1
Q1-2017,Georgia,GA,T41,T41 Corporation Net Income Taxes,104,2017,1
Q1-2017,Georgia,GA,T50,T50 Death and Gift Taxes,0,2017,1
Q1-2017,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2017,1
Q1-2017,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",38,2017,1
Q1-2017,Georgia,GA,TOTAL,Total Taxes,5035,2017,1
Q2-2017,Georgia,GA,T01,T01 Property Taxes,231,2017,2
Q2-2017,Georgia,GA,T09,T09 General Sales and Gross Receipts Taxes,1425,2017,2
Q2-2017,Georgia,GA,T10,T10 Alcoholic Beverages Sales Tax,49,2017,2
Q2-2017,Georgia,GA,T12,T12 Insurance Premiums Sales Tax,57,2017,2
Q2-2017,Georgia,GA,T13,T13 Motor Fuels Sales Tax,443,2017,2
Q2-2017,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2017,2
Q2-2017,Georgia,GA,T16,T16 Tobacco Products Sales Tax,56,2017,2
Q2-2017,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,0,2017,2
Q2-2017,Georgia,GA,T20,T20 Alcoholic Beverages License,0,2017,2
Q2-2017,Georgia,GA,T21,T21 Amusements License,0,2017,2
Q2-2017,Georgia,GA,T22,T22 Corporations In General License,7,2017,2
Q2-2017,Georgia,GA,T23,T23 Hunting and Fishing License,3,2017,2
Q2-2017,Georgia,GA,T24,T24 Motor Vehicles License,88,2017,2
Q2-2017,Georgia,GA,T25,T25 Motor Vehicle Operators License,3,2017,2
Q2-2017,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",11,2017,2
Q2-2017,Georgia,GA,T29,T29 Other License Taxes,5,2017,2
Q2-2017,Georgia,GA,T40,T40 Individual Income Taxes,2957,2017,2
Q2-2017,Georgia,GA,T41,T41 Corporation Net Income Taxes,456,2017,2
Q2-2017,Georgia,GA,T50,T50 Death and Gift Taxes,0,2017,2
Q2-2017,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2017,2
Q2-2017,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",46,2017,2
Q2-2017,Georgia,GA,TOTAL,Total Taxes,5838,2017,2
Q3-2017,Georgia,GA,T01,T01 Property Taxes,252,2017,3
Q3-2017,Georgia,GA,T09,T09 General Sales and Gross Receipts Taxes,1453,2017,3
Q3-2017,Georgia,GA,T10,T10 Alcoholic Beverages Sales Tax,50,2017,3
Q3-2017,Georgia,GA,T12,T12 Insurance Premiums Sales Tax,111,2017,3
Q3-2017,Georgia,GA,T13,T13 Motor Fuels Sales Tax,458,2017,3
Q3-2017,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2017,3
Q3-2017,Georgia,GA,T16,T16 Tobacco Products Sales Tax,60,2017,3
Q3-2017,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,46,2017,3
Q3-2017,Georgia,GA,T20,T20 Alcoholic Beverages License,0,2017,3
Q3-2017,Georgia,GA,T21,T21 Amusements License,0,2017,3
Q3-2017,Georgia,GA,T22,T22 Corporations In General License,12,2017,3
Q3-2017,Georgia,GA,T23,T23 Hunting and Fishing License,6,2017,3
Q3-2017,Georgia,GA,T24,T24 Motor Vehicles License,95,2017,3
Q3-2017,Georgia,GA,T25,T25 Motor Vehicle Operators License,2,2017,3
Q3-2017,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",21,2017,3
Q3-2017,Georgia,GA,T29,T29 Other License Taxes,9,2017,3
Q3-2017,Georgia,GA,T40,T40 Individual Income Taxes,2776,2017,3
Q3-2017,Georgia,GA,T41,T41 Corporation Net Income Taxes,233,2017,3
Q3-2017,Georgia,GA,T50,T50 Death and Gift Taxes,0,2017,3
Q3-2017,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2017,3
Q3-2017,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",45,2017,3
Q3-2017,Georgia,GA,TOTAL,Total Taxes,5631,2017,3
Q4-2017,Georgia,GA,T01,T01 Property Taxes,220,2017,4
Q4-2017,Georgia,GA,T09,T09 General Sales and Gross Receipts Taxes,1442,2017,4
Q4-2017,Georgia,GA,T10,T10 Alcoholic Beverages Sales Tax,49,2017,4
Q4-2017,Georgia,GA,T12,T12 Insurance Premiums Sales Tax,114,2017,4
Q4-2017,Georgia,GA,T13,T13 Motor Fuels Sales Tax,447,2017,4
Q4-2017,Georgia,GA,T15,T15 Public Utilities Sales Tax,0,2017,4
Q4-2017,Georgia,GA,T16,T16 Tobacco Products Sales Tax,55,2017,4
Q4-2017,Georgia,GA,T19,T19 Other Selective Sales and Gross Receipts Taxes,0,2017,4
Q4-2017,Georgia,GA,T20,T20 Alcoholic Beverages License,3,2017,4
Q4-2017,Georgia,GA,T21,T21 Amusements License,0,2017,4
Q4-2017,Georgia,GA,T22,T22 Corporations In General License,14,2017,4
Q4-2017,Georgia,GA,T23,T23 Hunting and Fishing License,6,2017,4
Q4-2017,Georgia,GA,T24,T24 Motor Vehicles License,89,2017,4
Q4-2017,Georgia,GA,T25,T25 Motor Vehicle Operators License,2,2017,4
Q4-2017,Georgia,GA,T28,"T28 Occupation and Business License, Not Elsewhere Classified",18,2017,4
Q4-2017,Georgia,GA,T29,T29 Other License Taxes,8,2017,4
Q4-2017,Georgia,GA,T40,T40 Individual Income Taxes,3113,2017,4
Q4-2017,Georgia,GA,T41,T41 Corporation Net Income Taxes,208,2017,4
Q4-2017,Georgia,GA,T50,T50 Death and Gift Taxes,0,2017,4
Q4-2017,Georgia,GA,T51,T51 Documentary and Stock Transfer Taxes,0,2017,4
Q4-2017,Georgia,GA,T99,"T99 Taxes, Not Elsewhere Classified",44,2017,4
Q4-2017,Georgia,GA,TOTAL,Total Taxes,5830,2017,4
Q1-2010,Illinois,IL,T01,T01 Property Taxes,16,2010,1
Q1-2010,Illinois,IL,T09,T09 General Sales and Gross Receipts Taxes,1617,2010,1
Q1-2010,Illinois,IL,T10,T10 Alcoholic Beverages Sales Tax,59,2010,1
Q1-2010,Illinois,IL,T11,T11 Amusements Sales Tax,93,2010,1
Q1-2010,Illinois,IL,T12,T12 Insurance Premiums Sales Tax,64,2010,1
Q1-2010,Illinois,IL,T13,T13 Motor Fuels Sales Tax,322,2010,1
Q1-2010,Illinois,IL,T14,T14 Pari-Mutuels Sales Tax,1,2010,1
Q1-2010,Illinois,IL,T15,T15 Public Utilities Sales Tax,504,2010,1
Q1-2010,Illinois,IL,T16,T16 Tobacco Products Sales Tax,135,2010,1
Q1-2010,Illinois,IL,T19,T19 Other Selective Sales and Gross Receipts Taxes,307,2010,1
Q1-2010,Illinois,IL,T20,T20 Alcoholic Beverages License,3,2010,1
Q1-2010,Illinois,IL,T21,T21 Amusements License,0,2010,1
Q1-2010,Illinois,IL,T22,T22 Corporations In General License,106,2010,1
Q1-2010,Illinois,IL,T23,T23 Hunting and Fishing License,2,2010,1
Q1-2010,Illinois,IL,T24,T24 Motor Vehicles License,322,2010,1
Q1-2010,Illinois,IL,T25,T25 Motor Vehicle Operators License,25,2010,1
Q1-2010,Illinois,IL,T27,T27 Public Utilities License,0,2010,1
Q1-2010,Illinois,IL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",206,2010,1
Q1-2010,Illinois,IL,T29,T29 Other License Taxes,5,2010,1
Q1-2010,Illinois,IL,T40,T40 Individual Income Taxes,2515,2010,1
Q1-2010,Illinois,IL,T41,T41 Corporation Net Income Taxes,729,2010,1
Q1-2010,Illinois,IL,T50,T50 Death and Gift Taxes,51,2010,1
Q1-2010,Illinois,IL,T51,T51 Documentary and Stock Transfer Taxes,8,2010,1
Q1-2010,Illinois,IL,T53,T53 Severance Taxes,0,2010,1
Q1-2010,Illinois,IL,T99,"T99 Taxes, Not Elsewhere Classified",0,2010,1
Q1-2010,Illinois,IL,TOTAL,Total Taxes,7092,2010,1
Q2-2010,Illinois,IL,T01,T01 Property Taxes,6,2010,2
Q2-2010,Illinois,IL,T09,T09 General Sales and Gross Receipts Taxes,1776,2010,2
Q2-2010,Illinois,IL,T10,T10 Alcoholic Beverages Sales Tax,65,2010,2
Q2-2010,Illinois,IL,T11,T11 Amusements Sales Tax,118,2010,2
Q2-2010,Illinois,IL,T12,T12 Insurance Premiums Sales Tax,123,2010,2
Q2-2010,Illinois,IL,T13,T13 Motor Fuels Sales Tax,333,2010,2
Q2-2010,Illinois,IL,T14,T14 Pari-Mutuels Sales Tax,2,2010,2
Q2-2010,Illinois,IL,T15,T15 Public Utilities Sales Tax,416,2010,2
Q2-2010,Illinois,IL,T16,T16 Tobacco Products Sales Tax,146,2010,2
Q2-2010,Illinois,IL,T19,T19 Other Selective Sales and Gross Receipts Taxes,300,2010,2
Q2-2010,Illinois,IL,T20,T20 Alcoholic Beverages License,4,2010,2
Q2-2010,Illinois,IL,T21,T21 Amusements License,48,2010,2
Q2-2010,Illinois,IL,T22,T22 Corporations In General License,83,2010,2
Q2-2010,Illinois,IL,T23,T23 Hunting and Fishing License,17,2010,2
Q2-2010,Illinois,IL,T24,T24 Motor Vehicles License,500,2010,2
Q2-2010,Illinois,IL,T25,T25 Motor Vehicle Operators License,28,2010,2
Q2-2010,Illinois,IL,T27,T27 Public Utilities License,5,2010,2
Q2-2010,Illinois,IL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",33,2010,2
Q2-2010,Illinois,IL,T29,T29 Other License Taxes,4,2010,2
Q2-2010,Illinois,IL,T40,T40 Individual Income Taxes,2703,2010,2
Q2-2010,Illinois,IL,T41,T41 Corporation Net Income Taxes,971,2010,2
Q2-2010,Illinois,IL,T50,T50 Death and Gift Taxes,77,2010,2
Q2-2010,Illinois,IL,T51,T51 Documentary and Stock Transfer Taxes,11,2010,2
Q2-2010,Illinois,IL,T53,T53 Severance Taxes,0,2010,2
Q2-2010,Illinois,IL,T99,"T99 Taxes, Not Elsewhere Classified",0,2010,2
Q2-2010,Illinois,IL,TOTAL,Total Taxes,7771,2010,2
Q3-2010,Illinois,IL,T01,T01 Property Taxes,16,2010,3
Q3-2010,Illinois,IL,T09,T09 General Sales and Gross Receipts Taxes,1753,2010,3
Q3-2010,Illinois,IL,T10,T10 Alcoholic Beverages Sales Tax,71,2010,3
Q3-2010,Illinois,IL,T11,T11 Amusements Sales Tax,142,2010,3
Q3-2010,Illinois,IL,T12,T12 Insurance Premiums Sales Tax,84,2010,3
Q3-2010,Illinois,IL,T13,T13 Motor Fuels Sales Tax,344,2010,3
Q3-2010,Illinois,IL,T14,T14 Pari-Mutuels Sales Tax,2,2010,3
Q3-2010,Illinois,IL,T15,T15 Public Utilities Sales Tax,443,2010,3
Q3-2010,Illinois,IL,T16,T16 Tobacco Products Sales Tax,147,2010,3
Q3-2010,Illinois,IL,T19,T19 Other Selective Sales and Gross Receipts Taxes,730,2010,3
Q3-2010,Illinois,IL,T20,T20 Alcoholic Beverages License,3,2010,3
Q3-2010,Illinois,IL,T21,T21 Amusements License,0,2010,3
Q3-2010,Illinois,IL,T22,T22 Corporations In General License,79,2010,3
Q3-2010,Illinois,IL,T23,T23 Hunting and Fishing License,12,2010,3
Q3-2010,Illinois,IL,T24,T24 Motor Vehicles License,437,2010,3
Q3-2010,Illinois,IL,T25,T25 Motor Vehicle Operators License,27,2010,3
Q3-2010,Illinois,IL,T27,T27 Public Utilities License,11,2010,3
Q3-2010,Illinois,IL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",80,2010,3
Q3-2010,Illinois,IL,T29,T29 Other License Taxes,5,2010,3
Q3-2010,Illinois,IL,T40,T40 Individual Income Taxes,2135,2010,3
Q3-2010,Illinois,IL,T41,T41 Corporation Net Income Taxes,507,2010,3
Q3-2010,Illinois,IL,T50,T50 Death and Gift Taxes,90,2010,3
Q3-2010,Illinois,IL,T51,T51 Documentary and Stock Transfer Taxes,10,2010,3
Q3-2010,Illinois,IL,T53,T53 Severance Taxes,0,2010,3
Q3-2010,Illinois,IL,T99,"T99 Taxes, Not Elsewhere Classified",0,2010,3
Q3-2010,Illinois,IL,TOTAL,Total Taxes,7128,2010,3
Q4-2010,Illinois,IL,T01,T01 Property Taxes,10,2010,4
Q4-2010,Illinois,IL,T09,T09 General Sales and Gross Receipts Taxes,2022,2010,4
Q4-2010,Illinois,IL,T10,T10 Alcoholic Beverages Sales Tax,68,2010,4
Q4-2010,Illinois,IL,T11,T11 Amusements Sales Tax,147,2010,4
Q4-2010,Illinois,IL,T12,T12 Insurance Premiums Sales Tax,61,2010,4
Q4-2010,Illinois,IL,T13,T13 Motor Fuels Sales Tax,328,2010,4
Q4-2010,Illinois,IL,T14,T14 Pari-Mutuels Sales Tax,2,2010,4
Q4-2010,Illinois,IL,T15,T15 Public Utilities Sales Tax,433,2010,4
Q4-2010,Illinois,IL,T16,T16 Tobacco Products Sales Tax,147,2010,4
Q4-2010,Illinois,IL,T19,T19 Other Selective Sales and Gross Receipts Taxes,346,2010,4
Q4-2010,Illinois,IL,T20,T20 Alcoholic Beverages License,3,2010,4
Q4-2010,Illinois,IL,T21,T21 Amusements License,0,2010,4
Q4-2010,Illinois,IL,T22,T22 Corporations In General License,76,2010,4
Q4-2010,Illinois,IL,T23,T23 Hunting and Fishing License,11,2010,4
Q4-2010,Illinois,IL,T24,T24 Motor Vehicles License,323,2010,4
Q4-2010,Illinois,IL,T25,T25 Motor Vehicle Operators License,25,2010,4
Q4-2010,Illinois,IL,T27,T27 Public Utilities License,2,2010,4
Q4-2010,Illinois,IL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",56,2010,4
Q4-2010,Illinois,IL,T29,T29 Other License Taxes,4,2010,4
Q4-2010,Illinois,IL,T40,T40 Individual Income Taxes,2176,2010,4
Q4-2010,Illinois,IL,T41,T41 Corporation Net Income Taxes,978,2010,4
Q4-2010,Illinois,IL,T50,T50 Death and Gift Taxes,23,2010,4
Q4-2010,Illinois,IL,T51,T51 Documentary and Stock Transfer Taxes,8,2010,4
Q4-2010,Illinois,IL,T53,T53 Severance Taxes,0,2010,4
Q4-2010,Illinois,IL,T99,"T99 Taxes, Not Elsewhere Classified",0,2010,4
Q4-2010,Illinois,IL,TOTAL,Total Taxes,7250,2010,4
Q1-2011,Illinois,IL,T01,T01 Property Taxes,21,2011,1
Q1-2011,Illinois,IL,T09,T09 General Sales and Gross Receipts Taxes,1757,2011,1
Q1-2011,Illinois,IL,T10,T10 Alcoholic Beverages Sales Tax,63,2011,1
Q1-2011,Illinois,IL,T11,T11 Amusements Sales Tax,88,2011,1
Q1-2011,Illinois,IL,T12,T12 Insurance Premiums Sales Tax,76,2011,1
Q1-2011,Illinois,IL,T13,T13 Motor Fuels Sales Tax,321,2011,1
Q1-2011,Illinois,IL,T14,T14 Pari-Mutuels Sales Tax,1,2011,1
Q1-2011,Illinois,IL,T15,T15 Public Utilities Sales Tax,499,2011,1
Q1-2011,Illinois,IL,T16,T16 Tobacco Products Sales Tax,145,2011,1
Q1-2011,Illinois,IL,T19,T19 Other Selective Sales and Gross Receipts Taxes,125,2011,1
Q1-2011,Illinois,IL,T20,T20 Alcoholic Beverages License,3,2011,1
Q1-2011,Illinois,IL,T21,T21 Amusements License,0,2011,1
Q1-2011,Illinois,IL,T22,T22 Corporations In General License,111,2011,1
Q1-2011,Illinois,IL,T23,T23 Hunting and Fishing License,3,2011,1
Q1-2011,Illinois,IL,T24,T24 Motor Vehicles License,333,2011,1
Q1-2011,Illinois,IL,T25,T25 Motor Vehicle Operators License,24,2011,1
Q1-2011,Illinois,IL,T27,T27 Public Utilities License,9,2011,1
Q1-2011,Illinois,IL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",195,2011,1
Q1-2011,Illinois,IL,T29,T29 Other License Taxes,8,2011,1
Q1-2011,Illinois,IL,T40,T40 Individual Income Taxes,3195,2011,1
Q1-2011,Illinois,IL,T41,T41 Corporation Net Income Taxes,632,2011,1
Q1-2011,Illinois,IL,T50,T50 Death and Gift Taxes,5,2011,1
