date,state,state_abb,cat_tax,cat_str,rev,year,quarter
Q3-2010,Alabama,AL,T27,T27 Public Utilities License,3,2010,3
Q3-2010,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",31,2010,3
Q3-2010,Alabama,AL,T29,T29 Other License Taxes,0,2010,3
Q3-2010,Alabama,AL,T40,T40 Individual Income Taxes,682,2010,3
Q3-2010,Alabama,AL,T41,T41 Corporation Net Income Taxes,157,2010,3
Q3-2010,Alabama,AL,T50,T50 Death and Gift Taxes,0,2010,3
Q3-2010,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,8,2010,3
Q3-2010,Alabama,AL,T53,T53 Severance Taxes,22,2010,3
Q3-2010,Alabama,AL,T99,"T99 Taxes, Not Elsewhere Classified",0,2010,3
Q3-2010,Alabama,AL,TOTAL,Total Taxes,2140,2010,3
Q4-2010,Alabama,AL,T01,T01 Property Taxes,131,2010,4
Q4-2010,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,539,2010,4
Q4-2010,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,45,2010,4
Q4-2010,Alabama,AL,T11,T11 Amusements Sales Tax,0,2010,4
Q4-2010,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,69,2010,4
Q4-2010,Alabama,AL,T13,T13 Motor Fuels Sales Tax,137,2010,4
Q4-2010,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2010,4
Q4-2010,Alabama,AL,T15,T15 Public Utilities Sales Tax,197,2010,4
Q4-2010,Alabama,AL,T16,T16 Tobacco Products Sales Tax,34,2010,4
Q4-2010,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,59,2010,4
Q4-2010,Alabama,AL,T20,T20 Alcoholic Beverages License,4,2010,4
Q4-2010,Alabama,AL,T21,T21 Amusements License,0,2010,4
Q4-2010,Alabama,AL,T22,T22 Corporations In General License,11,2010,4
Q4-2010,Alabama,AL,T23,T23 Hunting and Fishing License,9,2010,4
Q4-2010,Alabama,AL,T24,T24 Motor Vehicles License,57,2010,4
Q4-2010,Alabama,AL,T25,T25 Motor Vehicle Operators License,4,2010,4
Q4-2010,Alabama,AL,T27,T27 Public Utilities License,2,2010,4
Q4-2010,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",38,2010,4
Q4-2010,Alabama,AL,T29,T29 Other License Taxes,0,2010,4
Q4-2010,Alabama,AL,T40,T40 Individual Income Taxes,682,2010,4
Q4-2010,Alabama,AL,T41,T41 Corporation Net Income Taxes,73,2010,4
Q4-2010,Alabama,AL,T50,T50 Death and Gift Taxes,0,2010,4
Q4-2010,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,8,2010,4
Q4-2010,Alabama,AL,T53,T53 Severance Taxes,29,2010,4
Q4-2010,Alabama,AL,T99,"T99 Taxes, Not Elsewhere Classified",0,2010,4
Q4-2010,Alabama,AL,TOTAL,Total Taxes,2127,2010,4
Q1-2011,Alabama,AL,T01,T01 Property Taxes,160,2011,1
Q1-2011,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,527,2011,1
Q1-2011,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,38,2011,1
Q1-2011,Alabama,AL,T11,T11 Amusements Sales Tax,0,2011,1
Q1-2011,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,46,2011,1
Q1-2011,Alabama,AL,T13,T13 Motor Fuels Sales Tax,130,2011,1
Q1-2011,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,1,2011,1
Q1-2011,Alabama,AL,T15,T15 Public Utilities Sales Tax,183,2011,1
Q1-2011,Alabama,AL,T16,T16 Tobacco Products Sales Tax,31,2011,1
Q1-2011,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,51,2011,1
Q1-2011,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2011,1
Q1-2011,Alabama,AL,T22,T22 Corporations In General License,66,2011,1
Q1-2011,Alabama,AL,T23,T23 Hunting and Fishing License,4,2011,1
Q1-2011,Alabama,AL,T24,T24 Motor Vehicles License,48,2011,1
Q1-2011,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2011,1
Q1-2011,Alabama,AL,T27,T27 Public Utilities License,3,2011,1
Q1-2011,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",31,2011,1
Q1-2011,Alabama,AL,T29,T29 Other License Taxes,0,2011,1
Q1-2011,Alabama,AL,T40,T40 Individual Income Taxes,679,2011,1
Q1-2011,Alabama,AL,T41,T41 Corporation Net Income Taxes,53,2011,1
Q1-2011,Alabama,AL,T50,T50 Death and Gift Taxes,0,2011,1
Q1-2011,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,9,2011,1
Q1-2011,Alabama,AL,T53,T53 Severance Taxes,26,2011,1
Q1-2011,Alabama,AL,TOTAL,Total Taxes,2092,2011,1
Q2-2011,Alabama,AL,T01,T01 Property Taxes,18,2011,2
Q2-2011,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,558,2011,2
Q2-2011,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,42,2011,2
Q2-2011,Alabama,AL,T11,T11 Amusements Sales Tax,0,2011,2
Q2-2011,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,51,2011,2
Q2-2011,Alabama,AL,T13,T13 Motor Fuels Sales Tax,131,2011,2
Q2-2011,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,1,2011,2
Q2-2011,Alabama,AL,T15,T15 Public Utilities Sales Tax,195,2011,2
Q2-2011,Alabama,AL,T16,T16 Tobacco Products Sales Tax,35,2011,2
Q2-2011,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,60,2011,2
Q2-2011,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2011,2
Q2-2011,Alabama,AL,T22,T22 Corporations In General License,23,2011,2
Q2-2011,Alabama,AL,T23,T23 Hunting and Fishing License,3,2011,2
Q2-2011,Alabama,AL,T24,T24 Motor Vehicles License,51,2011,2
Q2-2011,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2011,2
Q2-2011,Alabama,AL,T27,T27 Public Utilities License,3,2011,2
Q2-2011,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",30,2011,2
Q2-2011,Alabama,AL,T29,T29 Other License Taxes,0,2011,2
Q2-2011,Alabama,AL,T40,T40 Individual Income Taxes,720,2011,2
Q2-2011,Alabama,AL,T41,T41 Corporation Net Income Taxes,129,2011,2
Q2-2011,Alabama,AL,T50,T50 Death and Gift Taxes,0,2011,2
Q2-2011,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,7,2011,2
Q2-2011,Alabama,AL,T53,T53 Severance Taxes,30,2011,2
Q2-2011,Alabama,AL,TOTAL,Total Taxes,2091,2011,2
Q3-2011,Alabama,AL,T01,T01 Property Taxes,11,2011,3
Q3-2011,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,551,2011,3
Q3-2011,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,43,2011,3
Q3-2011,Alabama,AL,T11,T11 Amusements Sales Tax,0,2011,3
Q3-2011,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,106,2011,3
Q3-2011,Alabama,AL,T13,T13 Motor Fuels Sales Tax,150,2011,3
Q3-2011,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2011,3
Q3-2011,Alabama,AL,T15,T15 Public Utilities Sales Tax,196,2011,3
Q3-2011,Alabama,AL,T16,T16 Tobacco Products Sales Tax,37,2011,3
Q3-2011,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,66,2011,3
Q3-2011,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2011,3
Q3-2011,Alabama,AL,T22,T22 Corporations In General License,10,2011,3
Q3-2011,Alabama,AL,T23,T23 Hunting and Fishing License,6,2011,3
Q3-2011,Alabama,AL,T24,T24 Motor Vehicles License,44,2011,3
Q3-2011,Alabama,AL,T25,T25 Motor Vehicle Operators License,6,2011,3
Q3-2011,Alabama,AL,T27,T27 Public Utilities License,4,2011,3
Q3-2011,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",30,2011,3
Q3-2011,Alabama,AL,T29,T29 Other License Taxes,0,2011,3
Q3-2011,Alabama,AL,T40,T40 Individual Income Taxes,715,2011,3
Q3-2011,Alabama,AL,T41,T41 Corporation Net Income Taxes,47,2011,3
Q3-2011,Alabama,AL,T50,T50 Death and Gift Taxes,0,2011,3
Q3-2011,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,8,2011,3
Q3-2011,Alabama,AL,T53,T53 Severance Taxes,31,2011,3
Q3-2011,Alabama,AL,TOTAL,Total Taxes,2059,2011,3
Q4-2011,Alabama,AL,T01,T01 Property Taxes,136,2011,4
Q4-2011,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,560,2011,4
Q4-2011,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,46,2011,4
Q4-2011,Alabama,AL,T11,T11 Amusements Sales Tax,0,2011,4
Q4-2011,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,59,2011,4
Q4-2011,Alabama,AL,T13,T13 Motor Fuels Sales Tax,131,2011,4
Q4-2011,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2011,4
Q4-2011,Alabama,AL,T15,T15 Public Utilities Sales Tax,189,2011,4
Q4-2011,Alabama,AL,T16,T16 Tobacco Products Sales Tax,30,2011,4
Q4-2011,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,63,2011,4
Q4-2011,Alabama,AL,T20,T20 Alcoholic Beverages License,4,2011,4
Q4-2011,Alabama,AL,T22,T22 Corporations In General License,12,2011,4
Q4-2011,Alabama,AL,T23,T23 Hunting and Fishing License,8,2011,4
Q4-2011,Alabama,AL,T24,T24 Motor Vehicles License,57,2011,4
Q4-2011,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2011,4
Q4-2011,Alabama,AL,T27,T27 Public Utilities License,4,2011,4
Q4-2011,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",38,2011,4
Q4-2011,Alabama,AL,T29,T29 Other License Taxes,0,2011,4
Q4-2011,Alabama,AL,T40,T40 Individual Income Taxes,701,2011,4
Q4-2011,Alabama,AL,T41,T41 Corporation Net Income Taxes,99,2011,4
Q4-2011,Alabama,AL,T50,T50 Death and Gift Taxes,0,2011,4
Q4-2011,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,9,2011,4
Q4-2011,Alabama,AL,T53,T53 Severance Taxes,31,2011,4
Q4-2011,Alabama,AL,TOTAL,Total Taxes,2182,2011,4
Q1-2012,Alabama,AL,T01,T01 Property Taxes,158,2012,1
Q1-2012,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,563,2012,1
Q1-2012,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,41,2012,1
Q1-2012,Alabama,AL,T11,T11 Amusements Sales Tax,0,2012,1
Q1-2012,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,53,2012,1
Q1-2012,Alabama,AL,T13,T13 Motor Fuels Sales Tax,133,2012,1
Q1-2012,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2012,1
Q1-2012,Alabama,AL,T15,T15 Public Utilities Sales Tax,178,2012,1
Q1-2012,Alabama,AL,T16,T16 Tobacco Products Sales Tax,31,2012,1
Q1-2012,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,57,2012,1
Q1-2012,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2012,1
Q1-2012,Alabama,AL,T22,T22 Corporations In General License,83,2012,1
Q1-2012,Alabama,AL,T23,T23 Hunting and Fishing License,4,2012,1
Q1-2012,Alabama,AL,T24,T24 Motor Vehicles License,44,2012,1
Q1-2012,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2012,1
Q1-2012,Alabama,AL,T27,T27 Public Utilities License,3,2012,1
Q1-2012,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",30,2012,1
Q1-2012,Alabama,AL,T29,T29 Other License Taxes,0,2012,1
Q1-2012,Alabama,AL,T40,T40 Individual Income Taxes,696,2012,1
Q1-2012,Alabama,AL,T41,T41 Corporation Net Income Taxes,99,2012,1
Q1-2012,Alabama,AL,T50,T50 Death and Gift Taxes,0,2012,1
Q1-2012,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,8,2012,1
Q1-2012,Alabama,AL,T53,T53 Severance Taxes,31,2012,1
Q1-2012,Alabama,AL,TOTAL,Total Taxes,2218,2012,1
Q2-2012,Alabama,AL,T01,T01 Property Taxes,18,2012,2
Q2-2012,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,590,2012,2
Q2-2012,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,42,2012,2
Q2-2012,Alabama,AL,T11,T11 Amusements Sales Tax,0,2012,2
Q2-2012,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,58,2012,2
Q2-2012,Alabama,AL,T13,T13 Motor Fuels Sales Tax,132,2012,2
Q2-2012,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2012,2
Q2-2012,Alabama,AL,T15,T15 Public Utilities Sales Tax,177,2012,2
Q2-2012,Alabama,AL,T16,T16 Tobacco Products Sales Tax,31,2012,2
Q2-2012,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,69,2012,2
Q2-2012,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2012,2
Q2-2012,Alabama,AL,T22,T22 Corporations In General License,26,2012,2
Q2-2012,Alabama,AL,T23,T23 Hunting and Fishing License,3,2012,2
Q2-2012,Alabama,AL,T24,T24 Motor Vehicles License,54,2012,2
Q2-2012,Alabama,AL,T25,T25 Motor Vehicle Operators License,5,2012,2
Q2-2012,Alabama,AL,T27,T27 Public Utilities License,4,2012,2
Q2-2012,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",29,2012,2
Q2-2012,Alabama,AL,T29,T29 Other License Taxes,0,2012,2
Q2-2012,Alabama,AL,T40,T40 Individual Income Taxes,877,2012,2
Q2-2012,Alabama,AL,T41,T41 Corporation Net Income Taxes,139,2012,2
Q2-2012,Alabama,AL,T50,T50 Death and Gift Taxes,0,2012,2
Q2-2012,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,9,2012,2
Q2-2012,Alabama,AL,T53,T53 Severance Taxes,29,2012,2
Q2-2012,Alabama,AL,TOTAL,Total Taxes,2293,2012,2
Q3-2012,Alabama,AL,T01,T01 Property Taxes,12,2012,3
Q3-2012,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,562,2012,3
Q3-2012,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,44,2012,3
Q3-2012,Alabama,AL,T11,T11 Amusements Sales Tax,0,2012,3
Q3-2012,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,108,2012,3
Q3-2012,Alabama,AL,T13,T13 Motor Fuels Sales Tax,146,2012,3
